danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Label
0.705,0.628,5,-5.362,0,0.0489,0.0287,0.0193,0.0863,0.465,96.799,235540,4,1
0.745,0.579,1,-5.771,1,0.138,0.0354,0.0118,0.246,0.645,97.002,293947,4,1
0.704,0.859,5,-4.877,0,0.0996,0.0185,0,0.0215,0.926,105.115,217289,4,1
0.878,0.525,5,-6.832,1,0.0578,0.183,0,0.0714,0.694,112.022,158571,4,1
0.284,0.704,2,-7.276,1,0.186,0.00583,0.000115,0.0424,0.1,191.702,234707,4,1
0.881,0.457,7,-8.191,0,0.156,0.0327,0,0.231,0.296,136.97,198913,4,1
0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971,196653,4,1
0.804,0.823,8,-5.837,1,0.0488,0.104,0,0.2,0.616,126.007,217147,4,1
0.652,0.678,2,-6.183,1,0.0541,0.183,3.26E-05,0.106,0.28,72.989,263014,4,1
0.791,0.745,11,-3.695,0,0.0464,0.354,2.93E-05,0.104,0.82,94.014,188560,4,1
0.621,0.601,6,-5.616,0,0.148,0.0522,0,0.46,0.457,116.735,163636,5,1
0.794,0.793,11,-4.521,0,0.0842,0.0125,0,0.0952,0.677,123.941,183290,4,1
0.727,0.583,7,-7.385,0,0.0718,0.065,0,0.106,0.629,147.983,171840,4,1
0.845,0.631,7,-8.206,0,0.216,0.188,0,0.0806,0.545,111.983,279907,4,1
0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,200186,4,1
0.527,0.835,6,-5.298,1,0.0433,0.0166,0,0.249,0.654,125.983,176658,4,1
0.697,0.683,1,-2.881,0,0.117,0.0372,0,0.137,0.603,96.133,186987,4,1
0.545,0.78,7,-4.867,0,0.0436,0.0309,4.64E-05,0.0828,0.458,125.014,255093,4,1
0.577,0.741,6,-3.83,0,0.0501,0.298,0,0.142,0.581,128.081,230613,4,1
0.772,0.498,8,-7.661,1,0.649,0.115,0,0.0898,0.351,81.817,216727,4,1
0.579,0.887,1,-5.961,0,0.0334,0.0484,0.828,0.294,0.472,126.041,201920,4,1
0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427,4,1
0.719,0.626,8,-9.351,1,0.397,0.0607,0,0.0728,0.179,75.032,286730,4,1
0.623,0.473,8,-8.336,1,0.461,0.626,0,0.119,0.138,84.066,197822,4,1
0.715,0.652,6,-7.909,0,0.396,0.101,0,0.11,0.498,109.28,257646,5,1
0.678,0.567,10,-9.148,0,0.261,0.188,1.67E-06,0.164,0.658,84.039,315771,4,1
0.734,0.543,1,-7.979,1,0.4,0.186,0,0.372,0.336,78.168,237295,4,1
0.829,0.527,6,-6.644,0,0.367,0.482,0,0.631,0.475,116.079,200310,4,1
0.625,0.536,0,-5.428,1,0.0776,0.038,2.31E-05,0.167,0.253,159.914,221787,4,1
0.68,0.578,10,-5.804,1,0.04,0.331,0,0.135,0.341,145.038,231267,4,1
0.672,0.717,1,-2.714,1,0.034,0.341,2.40E-05,0.106,0.225,160.981,194560,4,1
0.599,0.571,2,-4.998,1,0.0665,0.198,0,0.0969,0.285,151.974,206453,4,1
0.611,0.459,0,-3.926,0,0.0422,0.614,0,0.126,0.177,148.28,213878,4,1
0.656,0.637,1,-3.867,1,0.0256,0.34,0,0.187,0.267,105.037,203141,4,1
0.514,0.393,1,-8.72,0,0.529,0.558,0,0.282,0.598,78.039,203174,4,1
0.706,0.559,4,-5.216,0,0.0416,0.0372,0,0.379,0.252,78.534,217405,4,1
0.625,0.589,6,-6.627,0,0.0858,0.518,0,0.197,0.33,100.003,189973,4,1
0.243,0.26,4,-5.876,0,0.0305,0.828,4.03E-05,0.532,0.327,76.61,49293,3,1
0.668,0.892,5,-3.001,0,0.0645,0.298,0,0.735,0.478,95.927,159011,4,1
0.786,0.733,6,-4.961,0,0.127,0.0257,0,0.143,0.358,101.046,202653,4,1
0.38,0.454,0,-10.271,0,0.0362,0.755,0.623,0.263,0.288,77.592,112013,4,1
0.606,0.775,5,-4.269,0,0.0671,0.262,0,0.1,0.307,164.02,228147,4,1
0.652,0.591,11,-7.274,0,0.0418,0.145,5.65E-06,0.164,0.274,121.873,261800,4,1
0.798,0.733,7,-4.811,0,0.0476,0.265,1.25E-06,0.114,0.861,146.046,211427,4,1
0.652,0.643,9,-5.667,0,0.0353,0.318,2.87E-06,0.208,0.109,104.932,228227,4,1
0.731,0.774,10,-5.273,0,0.0555,0.434,3.34E-06,0.114,0.219,100.005,212467,4,1
0.762,0.621,0,-6.24,1,0.0866,0.61,0,0.464,0.593,120.056,216747,4,1
0.797,0.55,9,-4.166,1,0.24,0.513,0,0.0786,0.543,134.206,206267,4,1
0.569,0.777,4,-4.041,0,0.0834,0.139,0,0.132,0.181,164.027,246987,4,1
0.738,0.824,5,-5.165,0,0.0437,0.15,0,0.132,0.386,138.039,204360,4,1
0.585,0.52,5,-6.136,0,0.0712,0.124,7.01E-05,0.131,0.129,159.801,218147,4,1
0.869,0.385,4,-7.801,1,0.297,0.135,0,0.0931,0.596,149.897,133922,4,1
0.703,0.696,0,-5.482,1,0.0529,0.0375,5.65E-06,0.274,0.366,121.969,205947,4,1
0.724,0.491,8,-6.024,1,0.0296,0.018,1.29E-05,0.0887,0.383,105.046,170746,4,1
0.531,0.75,10,-5.831,0,0.111,0.00632,7.60E-05,0.117,0.198,169.954,200080,4,1
0.886,0.672,1,-4.394,1,0.188,0.0363,8.78E-06,0.101,0.526,91.976,192024,4,1
0.866,0.53,0,-6.347,0,0.0495,0.517,0.00159,0.0946,0.203,104.952,197973,4,1
0.817,0.781,7,-4.178,0,0.112,0.00838,5.21E-06,0.123,0.359,104,216707,4,1
0.642,0.881,11,-3.537,1,0.0393,0.209,0,0.21,0.913,138.03,222045,4,1
0.609,0.726,5,-4.346,0,0.0414,0.0723,8.45E-06,0.0895,0.362,93.958,195000,4,1
0.726,0.708,7,-6.908,0,0.356,0.303,0,0.348,0.417,105.084,200133,4,1
0.628,0.715,5,-7.097,1,0.0541,0.0524,0,0.119,0.429,139.991,211600,4,1
0.592,0.457,9,-6.081,0,0.0603,0.661,0.000331,0.146,0.225,146.04,110886,4,1
0.689,0.505,0,-6.389,1,0.0933,0.158,0,0.138,0.312,99.017,217293,4,1
0.755,0.599,8,-5.042,1,0.224,0.147,0,0.109,0.755,133.123,216632,4,1
0.823,0.783,0,-6.274,1,0.154,0.21,0,0.113,0.199,141.882,191437,4,1
0.414,0.416,11,-8.024,0,0.0251,0.1,0.179,0.131,0.196,159.91,186268,4,1
0.699,0.304,1,-11.192,1,0.0993,0.779,0.000993,0.137,0.271,119.705,160184,4,1
0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,135090,4,1
0.513,0.796,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,201573,4,1
0.6,0.688,5,-8.339,0,0.201,0.159,1.29E-05,0.409,0.0793,99.977,156600,4,1
0.513,0.583,9,-10.863,1,0.038,0.355,1.96E-05,0.18,0.866,180.183,241627,4,1
0.534,0.905,9,-3.315,1,0.0369,0.129,0,0.128,0.961,202.899,220160,4,1
0.651,0.631,6,-5.717,0,0.0896,0.519,0.000579,0.165,0.35,127.994,154424,4,1
0.676,0.771,8,-3.675,1,0.0483,0.0237,7.00E-06,0.102,0.569,99.048,207133,4,1
0.459,0.575,3,-4.858,1,0.0573,0.604,0,0.0885,0.183,111.881,215107,4,1
0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,174000,4,1
0.489,0.598,1,-4.929,1,0.036,0.218,0,0.35,0.172,134.045,228373,3,1
0.508,0.665,8,-5.748,0,0.0694,0.629,0.00124,0.142,0.124,91.997,221107,4,1
0.903,0.675,11,-3.445,0,0.214,0.542,1.28E-05,0.0595,0.442,96.507,417920,4,1
0.596,0.854,7,-5.114,0,0.463,0.0169,0,0.124,0.152,120.274,203418,4,1
