Track Name,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Label,Genre
bad vibes forever,XXXTENTACION,0.8,0.526,8,-5.153,1,0.0716,0.334,0.00174,0.0571,0.746,129.874,150475,4,1,"rap,hip+hop,xxxtentacion,pnb+rock,trippie+redd,hip-hop,cloud+rap,rap"
Imposible,Luis Fonsi,0.786,0.764,11,-2.935,1,0.0798,0.122,0,0.102,0.913,90.979,163880,4,1,"latin,pop,latin+pop,spanish,romantica,latin,pop,latin+pop"
Make It Rain,Pop Smoke,0.54,0.77,1,-3.981,1,0.389,0.194,2.74E-05,0.372,0.565,159.494,204000,4,1,"rap,hip-hop,drill,trap,rap,hip-hop,drill"
Got The Guap (feat. Young Thug),Lil Uzi Vert,0.837,0.601,8,-5.628,1,0.198,0.21,0,0.0928,0.749,142.977,176756,4,1,"young+thug,lil+uzi+vert,trap,hip-hop,rap"
No Sleep (feat. Bonn),Martin Garrix,0.44,0.635,11,-6.385,1,0.0326,0.129,0,0.121,0.327,128.133,207095,4,1,"progressive+house,house,electronic,dance"
Machine,Imagine Dragons,0.638,0.679,4,-5.278,1,0.0425,0.0016,0.00655,0.121,0.596,81.045,181880,4,1,"rock,alt+rock,alternative,alternative+rock,indie+rock,indie,indie+rock,alternative"
Move Ya Hips (feat. Nicki Minaj & MadeinTYO),A$AP Ferg,0.809,0.68,4,-4.883,1,0.222,0.0535,1.20E-06,0.11,0.0653,143.988,146009,4,1,"nicki+minaj,pop,asap+ferg,madeintyo,hip-hop,trap,rap"
a&t,21 Savage,0.924,0.567,5,-5.009,1,0.0961,0.00169,0,0.0898,0.827,146.976,211588,4,1,"21+savage,hip-hop,trap,rap"
CHopstix (with Travis Scott),ScHoolboy Q,0.958,0.6,9,-6.996,0,0.118,0.0391,0,0.274,0.607,127.933,181153,4,1,"hip-hop,rap,underground+hip-hop,west+coast+rap,schoolboy+q,hip-hop,rap,underground+hip-hop"
NO HALO,BROCKHAMPTON,0.643,0.573,4,-7.034,1,0.0709,0.41,0.00017,0.0695,0.47,165.192,259747,4,1,"hip+hop,indie,alternative,experimental+hip+hop,alternative+hip+hop,hip-hop,rap,hip+hop"
No Auto (feat. Lil Durk),Lil Uzi Vert,0.713,0.681,11,-7.645,0,0.351,0.00286,0,0.291,0.635,159.107,135065,4,1,"lil+durk,lil+uzi+vert,trap,hip-hop,rap"
Kills You Slowly,The Chainsmokers,0.696,0.429,1,-8.736,0,0.0554,0.0518,0,0.128,0.242,149.967,213333,4,1,"pop,dance,edm,eletronic,electronic,pop,house"
Chang,PNL,0.745,0.456,8,-9.482,1,0.0874,0.44,0,0.072,0.124,94.032,314367,4,1,"cloud+rap,hip-hop,rap,fr,tisane,cloud+rap,hip-hop,rap"
Turn Me On (feat. Vula),Riton,0.737,0.828,11,-4.711,1,0.0396,0.0149,0.000583,0.0862,0.517,124.052,208474,4,1,"electro,electronic,techno,electroclash,house,electro,electronic,techno"
