Track Name,Artist,Streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms,time_signature,Label
mad woman,Taylor Swift,3902267,0.5920000000000001,0.6990000000000001,3,-8.995,1,0.0471,0.655,1.6800000000000002e-05,0.114,0.506,141.916,https://api.spotify.com/v1/audio-analysis/2QDyYdZyhlP2fp79KZX8Bi,237258,4,1
epiphany,Taylor Swift,3614451,0.354,0.267,1,-13.69,1,0.0281,0.731,0.000402,0.0858,0.113,94.219,https://api.spotify.com/v1/audio-analysis/08fa9LFcFBTcilB3iq2e2A,289749,4,1
peace,Taylor Swift,3381893,0.647,0.272,5,-12.906,1,0.0916,0.918,1.73e-05,0.0918,0.339,150.04399999999995,https://api.spotify.com/v1/audio-analysis/7MbT4I8qGntX4fMdqMQgke,234000,4,1
hoax,Taylor Swift,3061511,0.662,0.181,8,-15.065,1,0.0415,0.966,3.86e-06,0.133,0.429,118.819,https://api.spotify.com/v1/audio-analysis/6MWoRt97mnSTXZhu3ggi9C,220043,4,1
Lion King On Ice,J. Cole,2120540,0.732,0.6629999999999999,6,-7.616,0,0.192,0.0819,0.0,0.115,0.227,139.964,https://api.spotify.com/v1/audio-analysis/1ZvBVbsaNqHEP6ymXaPGlj,210587,4,1
The Climb Back,J. Cole,2205585,0.61,0.569,10,-9.447,0,0.345,0.0398,0.0,0.337,0.287,81.40899999999998,https://api.spotify.com/v1/audio-analysis/0FlfN5cbUUpIHCRH8X1M44,304640,4,1
Say So (feat. Nicki Minaj),Doja Cat,2099558,0.856,0.6409999999999999,11,-4.64,0,0.204,0.119,4.97e-06,0.4270000000000001,0.745,111.004,https://api.spotify.com/v1/audio-analysis/11VApNQCWLJdzxWrlmwzUa,206221,4,1
PA' ROMPERLA,Bad Bunny,2953078,0.772,0.83,7,-5.019,1,0.0599,0.016,0.0,0.0843,0.6970000000000001,94.011,https://api.spotify.com/v1/audio-analysis/5XqCz18k96K8tx6DAYM97i,194200,4,1
Stay Gold,BTS,2028372,0.7240000000000001,0.631,1,-5.403,1,0.0517,0.0873,0.0,0.0752,0.5479999999999999,129.019,https://api.spotify.com/v1/audio-analysis/0UwQTbq7ZtBJ7v530mpaxP,243733,4,1
TROLLZ (with Nicki Minaj),6ix9ine,2058603,0.7440000000000001,0.422,1,-8.946,1,0.294,0.0319,0.00011,0.11,0.493,180.00599999999997,https://api.spotify.com/v1/audio-analysis/3dVvWnj4D8JGkKvo6Hucso,202667,4,1
Sour Candy (with BLACKPINK),Lady Gaga,6225375,0.752,0.87,9,-3.812,0,0.0623,0.0604,1.12e-05,0.489,0.784,120.006,https://api.spotify.com/v1/audio-analysis/1IWNylpZ477gIVUDpJL66u,157707,4,1
Better,Khalid,2206849,0.596,0.552,0,-10.278,0,0.097,0.0765,0.334,0.104,0.112,97.949,https://api.spotify.com/v1/audio-analysis/6zeeWid2sgw4lap2jV61PZ,229320,4,1
Party Girl,StaySolidRocky,2946506,0.73,0.439,6,-9.864,0,0.0609,0.747,0.0,0.0988,0.615,130.09,https://api.spotify.com/v1/audio-analysis/3IJYUaN3tx04S4TYyZHKoP,147800,4,1
The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,2918502,0.49,0.618,1,-5.655,1,0.104,0.0221,3.77e-06,0.259,0.28600000000000003,99.7,https://api.spotify.com/v1/audio-analysis/1H7KnK26kc1YyellpbINEn,201600,4,1
GREECE (feat. Drake),DJ Khaled,2358568,0.695,0.343,5,-10.798,1,0.0432,0.0743,1.04e-06,0.107,0.229,85.84,https://api.spotify.com/v1/audio-analysis/35RJhm1pEovTBwnNR0zWad,218902,4,1
Rain On Me (with Ariana Grande),Lady Gaga,6894472,0.672,0.855,9,-3.764,1,0.0397,0.021,0.0,0.32299999999999995,0.6459999999999999,123.056,https://api.spotify.com/v1/audio-analysis/7ju97lgwC2rKQ6wwsf9no9,182200,4,1
Good News,Mac Miller,4374428,0.794,0.32,1,-12.92,0,0.173,0.853,0.134,0.112,0.241,174.088,https://api.spotify.com/v1/audio-analysis/3ClBKQkKoaUQ6UOhe2xlJK,342040,4,1
