danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Label
0.48,0.6,10,-6.34,0,0.37,0.49,0,0.08,0.27,179.8,213333,4,1
0.7,0.72,7,-3.56,0,0.04,0.22,0,0.27,0.76,90.99,140526,4,1
0.78,0.73,6,-3.45,0,0.39,0.19,0,0.06,0.56,180.07,199112,4,1
0.76,0.52,0,-8.87,1,0.13,0.24,0,0.11,0.52,133.98,261493,4,1
0.38,0.61,0,-7.27,0,0.07,0.61,0.04,0.15,0.13,175.95,283227,4,1
0.4,0.52,5,-9,0,0.06,0.05,0,0.2,0.17,145.74,355960,4,1
0.72,0.61,7,-5.01,0,0.04,0.06,0,0.16,0.49,129.96,212354,4,1
0.57,0.55,1,-6.67,0,0.04,0.17,0,0.11,0.23,174.14,176650,4,1
0.66,0.73,6,-4.76,1,0.06,0.01,0,0.12,0.46,127.98,192760,4,1
0.33,0.64,1,-4.9,0,0.06,0.13,0,0.15,0.13,139.9,172693,4,1
0.67,0.67,7,-5.19,1,0.16,0,0,0.07,0.7,111.52,159173,4,1
0.65,0.67,5,-5.56,1,0.3,0.23,0,0.13,0.7,172.08,193839,4,1
0.82,0.63,10,-4.57,0,0.2,0.01,0.1,0.17,0.42,143.01,195906,4,1
0.7,0.58,9,-6.58,0,0.04,0.01,0,0.1,0.38,152,199120,4,1
0.68,0.66,8,-4.54,1,0.14,0.04,0,0.1,0.58,162.18,169800,4,1
0.81,0.66,4,-5.39,1,0.08,0.04,0,0.19,0.55,114.95,161947,4,1
0.39,0.48,5,-5.49,1,0.1,0.25,0,0.16,0.28,72.09,229213,4,1
0.85,0.73,10,-6.44,0,0.16,0.01,0,0.15,0.2,130.03,193591,4,1
0.83,0.73,1,-5.63,0,0.1,0.35,0,0.11,0.62,97.97,190331,4,1
0.63,0.24,11,-7.07,0,0.04,0.86,0,0.12,0.09,79.86,149297,4,1
0.72,0.77,10,-5.84,0,0.21,0.04,0,0.2,0.6,88.97,194707,4,1
0.85,0.64,1,-5.19,1,0.37,0.03,0,0.38,0.51,165.98,173893,4,1
0.87,0.5,5,-10.81,1,0.09,0.01,0,0.1,0.32,92.98,183520,4,1
0.75,0.74,9,-4.43,1,0.4,0.45,0,0.12,0.5,79.97,209180,4,1
0.81,0.65,1,-8.01,0,0.1,0.18,0,0.1,0.47,129.97,173761,4,1
0.83,0.37,5,-5.53,0,0.11,0.16,0,0.37,0.12,77.27,149078,4,1
0.9,0.59,10,-6.69,0,0.06,0.1,0,0.79,0.64,116.97,196653,4,1
0.83,0.58,11,-9.91,1,0.07,0.04,0,0.1,0.84,144,155060,4,1
0.68,0.87,1,-1.57,1,0.04,0.12,0,0.13,0.59,120.03,167573,4,1
0.45,0.72,7,-3.95,1,0.03,0.04,0,0.61,0.36,157.92,195000,3,1
0.65,0.45,7,-6.36,1,0.04,0.17,0,0.11,0.53,138.03,186749,4,1
0.74,0.8,0,-4.76,1,0.09,0.47,0,0.09,0.68,144.01,172325,4,1
0.87,0.55,6,-6.42,1,0.23,0.18,0,0.11,0.46,117.94,154767,4,1
0.67,0.7,6,-8.06,1,0.36,0.2,0,0.09,0.37,86.92,212093,4,1
0.4,0.49,6,-10.78,0,0.05,0.06,0,0.11,0.15,91.07,210463,4,1
0.66,0.7,9,-4.11,1,0.16,0.09,0,0.09,0.62,91.97,180520,4,1
0.82,0.46,6,-5.43,1,0.05,0.17,0,0.04,0.95,87.98,187427,4,1
0.91,0.69,0,-3.15,1,0.07,0.09,0,0.27,0.96,103.01,155825,4,1
0.65,0.64,10,-6.87,0,0.18,0.4,0,0.29,0.67,140.25,48000,4,1
