Track Name,Artist,Streams,URL,trackID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Label
Birthday,Anne-Marie,1066571,https://open.spotify.com/track/5hff5RQeE84pznOt8WEWeO,5hff5RQeE84pznOt8WEWeO,0.609,0.785,11,-3.32,1,0.0891,0.0502,0.0,0.171,0.7559999999999999,151.995,audio_features,5hff5RQeE84pznOt8WEWeO,spotify:track:5hff5RQeE84pznOt8WEWeO,https://api.spotify.com/v1/tracks/5hff5RQeE84pznOt8WEWeO,https://api.spotify.com/v1/audio-analysis/5hff5RQeE84pznOt8WEWeO,181467,4,0
No Judgement,Niall Horan,1127588,https://open.spotify.com/track/5IUOU5xkzGHsRFOYNu3GSK,5IUOU5xkzGHsRFOYNu3GSK,0.723,0.726,1,-3.835,0,0.0472,0.0564,0.000126,0.057,0.9620000000000001,100.051,audio_features,5IUOU5xkzGHsRFOYNu3GSK,spotify:track:5IUOU5xkzGHsRFOYNu3GSK,https://api.spotify.com/v1/tracks/5IUOU5xkzGHsRFOYNu3GSK,https://api.spotify.com/v1/audio-analysis/5IUOU5xkzGHsRFOYNu3GSK,176283,4,0
YELL OH,Trippie Redd,982766,https://open.spotify.com/track/003VDDA7J3Xb2ZFlNx7nIZ,003VDDA7J3Xb2ZFlNx7nIZ,0.8420000000000001,0.578,6,-6.05,0,0.138,0.00419,0.0,0.228,0.19,74.49600000000001,audio_features,003VDDA7J3Xb2ZFlNx7nIZ,spotify:track:003VDDA7J3Xb2ZFlNx7nIZ,https://api.spotify.com/v1/tracks/003VDDA7J3Xb2ZFlNx7nIZ,https://api.spotify.com/v1/audio-analysis/003VDDA7J3Xb2ZFlNx7nIZ,236779,4,0
Snitching (feat. Quavo & Future),Pop Smoke,1694663,https://open.spotify.com/track/2FhEj9lvEIaJihjFprRrGt,2FhEj9lvEIaJihjFprRrGt,0.9440000000000001,0.579,8,-4.961,1,0.191,0.0381,0.0,0.253,0.769,135.033,audio_features,2FhEj9lvEIaJihjFprRrGt,spotify:track:2FhEj9lvEIaJihjFprRrGt,https://api.spotify.com/v1/tracks/2FhEj9lvEIaJihjFprRrGt,https://api.spotify.com/v1/audio-analysis/2FhEj9lvEIaJihjFprRrGt,259346,4,0
Definitivamente,Daddy Yankee,1033818,https://open.spotify.com/track/113PlnpZbHd3WIqeYjhZWv,113PlnpZbHd3WIqeYjhZWv,0.813,0.764,8,-3.39,0,0.105,0.586,0.0,0.253,0.429,100.04700000000001,audio_features,113PlnpZbHd3WIqeYjhZWv,spotify:track:113PlnpZbHd3WIqeYjhZWv,https://api.spotify.com/v1/tracks/113PlnpZbHd3WIqeYjhZWv,https://api.spotify.com/v1/audio-analysis/113PlnpZbHd3WIqeYjhZWv,217773,4,0
Broke In A Minute,Tory Lanez,1022445,https://open.spotify.com/track/2ZrAjMSmlbDIil0JaVgTHh,2ZrAjMSmlbDIil0JaVgTHh,0.929,0.7,0,-5.595,0,0.0906,0.14400000000000002,0.0,0.349,0.802,120.009,audio_features,2ZrAjMSmlbDIil0JaVgTHh,spotify:track:2ZrAjMSmlbDIil0JaVgTHh,https://api.spotify.com/v1/tracks/2ZrAjMSmlbDIil0JaVgTHh,https://api.spotify.com/v1/audio-analysis/2ZrAjMSmlbDIil0JaVgTHh,132024,4,0
King Of My City,A Boogie Wit da Hoodie,1094701,https://open.spotify.com/track/4GyMIm2BEMoOXjmIvSpfLi,4GyMIm2BEMoOXjmIvSpfLi,0.48,0.679,4,-6.776,0,0.264,0.452,0.0,0.152,0.29,81.186,audio_features,4GyMIm2BEMoOXjmIvSpfLi,spotify:track:4GyMIm2BEMoOXjmIvSpfLi,https://api.spotify.com/v1/tracks/4GyMIm2BEMoOXjmIvSpfLi,https://api.spotify.com/v1/audio-analysis/4GyMIm2BEMoOXjmIvSpfLi,148676,5,0
"I Do It (ft. Big Sean, Lil Baby)",Lil Wayne,1571690,https://open.spotify.com/track/1bRO28yzxgO3y3UmNR29TZ,1bRO28yzxgO3y3UmNR29TZ,0.804,0.528,1,-3.2310000000000003,1,0.37799999999999995,0.125,0.0,0.41,0.321,138.005,audio_features,1bRO28yzxgO3y3UmNR29TZ,spotify:track:1bRO28yzxgO3y3UmNR29TZ,https://api.spotify.com/v1/tracks/1bRO28yzxgO3y3UmNR29TZ,https://api.spotify.com/v1/audio-analysis/1bRO28yzxgO3y3UmNR29TZ,184440,4,0
Dans l'espace (feat. Heuss l'Enfoiré),Gambi,970843,https://open.spotify.com/track/2KAkkba3PaYFegfmYpUITv,2KAkkba3PaYFegfmYpUITv,0.9159999999999999,0.57,1,-6.278,1,0.18,0.0286,1.96e-06,0.0851,0.7,110.05,audio_features,2KAkkba3PaYFegfmYpUITv,spotify:track:2KAkkba3PaYFegfmYpUITv,https://api.spotify.com/v1/tracks/2KAkkba3PaYFegfmYpUITv,https://api.spotify.com/v1/audio-analysis/2KAkkba3PaYFegfmYpUITv,169702,4,0
West Coast Shit (feat. Tyga & Quavo),Pop Smoke,1495603,https://open.spotify.com/track/1JDhNQ0oOT7XpclZn3aQ8F,1JDhNQ0oOT7XpclZn3aQ8F,0.831,0.762,11,-5.656000000000001,0,0.207,0.0885,0.0,0.107,0.495,99.999,audio_features,1JDhNQ0oOT7XpclZn3aQ8F,spotify:track:1JDhNQ0oOT7XpclZn3aQ8F,https://api.spotify.com/v1/tracks/1JDhNQ0oOT7XpclZn3aQ8F,https://api.spotify.com/v1/audio-analysis/1JDhNQ0oOT7XpclZn3aQ8F,192000,4,0
